,ticker,company_name,marketcap_display,sell_side_rating,quant_rating,authors_rating,eps_revisions_category,growth_category,momentum_category,profitability_category,value_category,dividend_yield,is_top_tated
56,JSPR,"Jasper Therapeutics, Inc.",361902400,4.85714,4.95060241,,1,5,1,10,5,,FALSE
57,AEYE,"AudioEye, Inc.",180527760,4.66667,4.989156627,2.5,1,2,1,10,9,,FALSE
58,LE,"Lands' End, Inc.",427346080,4,4.939759036,3,2,7,1,10,3,,FALSE
59,GOOGL,Alphabet Inc.,2.03459E+12,4.33333,4.980722892,3.73333,3,4,2,1,11,,FALSE
60,SIEGY,Siemens Aktiengesellschaft,1.47579E+11,4.33333,4.889156627,3,1,3,5,1,7,2.706507,FALSE
61,HRTG,"Heritage Insurance Holdings, Inc.",315249536,3.66667,4.992771084,,1,7,1,5,1,,FALSE
62,OCGN,"Ocugen, Inc.",357682112,4.66667,4.975903614,4,1,3,1,9,10,,FALSE
63,CXDO,"Crexendo, Inc.",114073440,4.33333,4.953012048,3,2,3,1,7,9,,FALSE
64,BSEM,"BioStem Technologies, Inc.",149934896,,4.954216867,,1,7,1,10,11,,FALSE
65,MESO,Mesoblast Limited,796561020,4,4.931325301,3,2,3,1,5,9,,FALSE
66,DIDIY,DiDi Global Inc.,23775217700,5,4.902409639,5,3,3,2,9,5,,FALSE
67,OSCR,"Oscar Health, Inc.",4108521470,4.25,4.910843373,4,7,8,1,11,5,,FALSE
68,LEXX,Lexaria Bioscience Corp.,44971000,4,4.962650602,,3,9,1,9,9,,FALSE
69,SUPV,Grupo Supervielle S.A.,700886020,1.66667,4.984337349,4,1,4,1,8,6,,FALSE
70,PI,"Impinj, Inc.",4286726400,4.5,4.96626506,3,1,1,1,9,10,,FALSE
71,LMB,"Limbach Holdings, Inc.",511909152,4.5,4.886746988,4,3,2,1,5,7,,FALSE
72,ULH,"Universal Logistics Holdings, Inc.",1157079680,3,4.908433735,,3,9,1,8,5,0.95497954,FALSE
